,FILEDATE,DISPDATE,sex,race,age,is_citizen,educ,crime,crim_hist,counsel,judge
529066,04/25/2002,06/27/2002,0.0,1.0,"(15, 30]",1.0,6.0,10.0,"(-1, 0]",0,Callie V. Granade
529067,05/29/2002,07/25/2002,1.0,2.0,"(30, 50]",1.0,3.0,8.0,"(-1, 0]",0,Callie V. Granade
529068,05/29/2002,08/06/2002,0.0,1.0,"(15, 30]",1.0,6.0,28.0,"(2, 3]",2,Callie V. Granade
529069,05/29/2002,07/25/2002,0.0,1.0,"(30, 50]",1.0,6.0,13.0,"(-1, 0]",6,Callie V. Granade
529070,05/29/2002,07/25/2002,1.0,1.0,"(15, 30]",1.0,1.0,7.0,"(0, 1]",0,Callie V. Granade
529071,05/29/2002,07/25/2002,0.0,1.0,"(15, 30]",1.0,3.0,15.0,"(5, 6]",0,Callie V. Granade
529072,05/29/2002,07/25/2002,0.0,1.0,"(15, 30]",1.0,5.0,31.0,"(-1, 0]",0,Callie V. Granade
529073,05/29/2002,07/16/2002,0.0,1.0,"(30, 50]",1.0,3.0,34.0,"(1, 2]",0,Callie V. Granade
529074,06/27/2002,01/17/2006,0.0,2.0,"(30, 50]",1.0,5.0,29.0,"(5, 6]",0,Callie V. Granade
529075,06/27/2002,08/28/2002,0.0,2.0,"(30, 50]",1.0,3.0,31.0,"(5, 6]",6,Callie V. Granade
529076,06/27/2002,08/28/2002,0.0,2.0,"(15, 30]",1.0,1.0,31.0,"(5, 6]",1,Callie V. Granade
529077,06/28/2002,08/09/2002,0.0,1.0,"(15, 30]",1.0,3.0,19.0,"(-1, 0]",0,Callie V. Granade
529078,06/27/2002,11/25/2002,0.0,2.0,"(30, 50]",1.0,1.0,13.0,"(7, 8]",0,Callie V. Granade
529079,06/27/2002,08/28/2002,0.0,1.0,"(15, 30]",1.0,5.0,10.0,"(-1, 0]",0,Callie V. Granade
529080,06/27/2002,09/16/2002,0.0,2.0,"(15, 30]",1.0,1.0,6.0,"(0, 1]",0,Callie V. Granade
529081,07/23/2002,08/09/2002,0.0,1.0,"(30, 50]",1.0,3.0,14.0,"(4, 5]",2,Callie V. Granade
529082,07/25/2002,11/21/2002,0.0,2.0,"(15, 30]",1.0,1.0,22.0,"(6, 7]",6,Callie V. Granade
529083,07/25/2002,09/18/2002,0.0,1.0,"(15, 30]",1.0,1.0,23.0,"(7, 8]",0,Callie V. Granade
529084,07/25/2002,09/17/2002,0.0,1.0,"(15, 30]",1.0,3.0,33.0,"(-1, 0]",0,Callie V. Granade
529085,07/25/2002,09/18/2002,1.0,1.0,"(15, 30]",1.0,3.0,17.0,"(-1, 0]",0,Callie V. Granade
529086,07/25/2002,10/28/2002,0.0,1.0,"(30, 50]",1.0,3.0,21.0,"(-1, 0]",0,Callie V. Granade
529087,07/25/2002,09/18/2002,0.0,1.0,"(15, 30]",1.0,3.0,27.0,"(1, 2]",0,Callie V. Granade
529088,07/25/2002,10/08/2002,0.0,2.0,"(15, 30]",1.0,1.0,28.0,"(1, 2]",1,Callie V. Granade
529089,07/25/2002,10/08/2002,0.0,2.0,"(15, 30]",1.0,5.0,32.0,"(5, 6]",6,Callie V. Granade
529090,07/25/2002,09/17/2002,0.0,2.0,"(15, 30]",1.0,1.0,29.0,"(4, 5]",0,Callie V. Granade
529091,07/25/2002,10/28/2002,0.0,2.0,"(15, 30]",1.0,3.0,33.0,"(6, 7]",0,Callie V. Granade
529092,08/30/2002,10/28/2002,0.0,1.0,"(50, 65]",1.0,1.0,19.0,"(2, 3]",0,Callie V. Granade
529093,08/30/2002,12/02/2002,0.0,1.0,"(15, 30]",2.0,3.0,24.0,"(0, 1]",2,Callie V. Granade
529094,08/30/2002,11/22/2002,0.0,2.0,"(15, 30]",1.0,3.0,22.0,"(1, 2]",0,Callie V. Granade
529095,08/30/2002,10/28/2002,0.0,1.0,"(30, 50]",1.0,3.0,21.0,"(1, 2]",6,Callie V. Granade
529097,08/30/2002,11/27/2002,0.0,1.0,"(30, 50]",1.0,5.0,18.0,"(-1, 0]",6,Callie V. Granade
529098,08/30/2002,10/25/2002,0.0,1.0,"(30, 50]",1.0,1.0,33.0,"(2, 3]",0,Callie V. Granade
529099,08/30/2002,12/18/2002,1.0,1.0,"(15, 30]",1.0,1.0,34.0,"(3, 4]",3,Callie V. Granade
529100,08/30/2002,05/20/2003,0.0,1.0,"(15, 30]",1.0,1.0,33.0,"(3, 4]",1,Callie V. Granade
529101,08/30/2002,10/25/2002,1.0,1.0,"(30, 50]",1.0,3.0,25.0,"(0, 1]",0,Callie V. Granade
529102,08/30/2002,08/19/2003,1.0,1.0,"(15, 30]",1.0,1.0,26.0,"(-1, 0]",0,Callie V. Granade
529103,08/30/2002,08/19/2003,0.0,1.0,"(15, 30]",1.0,1.0,25.0,"(0, 1]",0,Callie V. Granade
529104,08/30/2002,12/18/2002,0.0,1.0,"(30, 50]",1.0,1.0,36.0,"(6, 7]",0,Callie V. Granade
529105,08/30/2002,10/25/2002,0.0,3.0,"(15, 30]",1.0,1.0,25.0,"(3, 4]",1,Callie V. Granade
529106,08/30/2002,10/28/2002,0.0,2.0,"(30, 50]",1.0,5.0,18.0,"(2, 3]",0,Callie V. Granade
529107,09/25/2002,10/29/2002,0.0,1.0,"(30, 50]",1.0,1.0,16.0,"(2, 3]",6,Callie V. Granade
529108,09/25/2002,11/22/2002,0.0,1.0,"(15, 30]",1.0,1.0,4.0,"(1, 2]",0,Callie V. Granade
529109,09/25/2002,11/25/2002,0.0,1.0,"(15, 30]",1.0,5.0,4.0,"(9, 10]",0,Callie V. Granade
529110,09/25/2002,01/22/2003,0.0,2.0,"(15, 30]",1.0,1.0,14.0,"(2, 3]",0,Callie V. Granade
529111,09/25/2002,11/22/2002,0.0,1.0,"(30, 50]",1.0,5.0,20.0,"(4, 5]",1,Callie V. Granade
529112,09/25/2002,01/28/2003,1.0,3.0,"(65, 80]",1.0,3.0,38.0,"(-1, 0]",0,Callie V. Granade
529113,09/25/2002,12/03/2002,0.0,3.0,"(30, 50]",1.0,3.0,23.0,"(2, 3]",6,Callie V. Granade
529114,09/25/2002,04/16/2003,0.0,2.0,"(30, 50]",1.0,5.0,12.0,"(6, 7]",0,Callie V. Granade
529115,10/30/2002,12/23/2002,0.0,1.0,"(30, 50]",1.0,6.0,12.0,"(1, 2]",0,Callie V. Granade
529116,10/30/2002,02/21/2003,0.0,1.0,"(30, 50]",1.0,5.0,34.0,"(7, 8]",6,Callie V. Granade
529117,10/30/2002,01/22/2003,0.0,3.0,"(30, 50]",1.0,1.0,8.0,"(2, 3]",0,Callie V. Granade
529118,10/30/2002,01/22/2003,0.0,2.0,"(30, 50]",1.0,1.0,13.0,"(11, 12]",0,Callie V. Granade
529119,11/20/2002,02/18/2003,0.0,3.0,"(15, 30]",1.0,1.0,17.0,"(-1, 0]",0,Callie V. Granade
529120,11/20/2002,05/06/2003,0.0,1.0,"(30, 50]",1.0,3.0,15.0,"(2, 3]",0,Callie V. Granade
529121,11/20/2002,04/22/2004,0.0,2.0,"(30, 50]",1.0,5.0,17.0,"(0, 1]",6,Callie V. Granade
529122,11/20/2002,01/22/2003,0.0,2.0,"(30, 50]",1.0,3.0,12.0,"(6, 7]",0,Callie V. Granade
529123,11/27/2002,12/18/2002,0.0,1.0,"(30, 50]",1.0,5.0,10.0,"(2, 3]",2,Callie V. Granade
529124,12/10/2002,12/23/2002,0.0,2.0,"(30, 50]",1.0,1.0,8.0,"(3, 4]",2,Callie V. Granade
529125,12/30/2002,05/09/2003,0.0,2.0,"(30, 50]",1.0,1.0,13.0,"(8, 9]",6,Callie V. Granade
529126,12/30/2002,02/27/2003,0.0,1.0,"(15, 30]",1.0,3.0,8.0,"(-1, 0]",0,Callie V. Granade
529127,12/30/2002,07/02/2004,0.0,2.0,"(50, 65]",1.0,1.0,30.0,"(4, 5]",0,Callie V. Granade
529128,12/30/2002,04/22/2004,0.0,2.0,"(30, 50]",1.0,1.0,20.0,"(7, 8]",0,Callie V. Granade
529129,12/30/2002,03/11/2003,0.0,2.0,"(30, 50]",1.0,1.0,21.0,"(8, 9]",6,Callie V. Granade
529130,12/30/2002,03/25/2003,0.0,2.0,"(30, 50]",1.0,1.0,43.0,"(9, 10]",1,Callie V. Granade
529131,12/30/2002,02/18/2003,0.0,2.0,"(15, 30]",1.0,3.0,23.0,"(4, 5]",0,Callie V. Granade
529132,12/30/2002,03/17/2003,0.0,1.0,"(30, 50]",1.0,5.0,29.0,"(-1, 0]",0,Callie V. Granade
529133,12/30/2002,02/18/2003,0.0,1.0,"(15, 30]",1.0,3.0,27.0,"(1, 2]",1,Callie V. Granade
529134,12/30/2002,02/18/2003,0.0,1.0,"(30, 50]",1.0,3.0,27.0,"(0, 1]",0,Callie V. Granade
529135,12/30/2002,01/23/2003,1.0,1.0,"(30, 50]",1.0,3.0,29.0,"(-1, 0]",0,Callie V. Granade
529136,12/30/2002,01/22/2004,0.0,2.0,"(15, 30]",1.0,3.0,12.0,"(8, 9]",0,Callie V. Granade
529137,01/30/2003,03/17/2003,0.0,1.0,"(30, 50]",1.0,5.0,21.0,"(-1, 0]",6,Callie V. Granade
529138,01/30/2003,03/18/2003,1.0,1.0,"(15, 30]",1.0,5.0,6.0,"(-1, 0]",0,Callie V. Granade
529139,01/30/2003,06/27/2003,0.0,1.0,"(15, 30]",1.0,1.0,15.0,"(-1, 0]",3,Callie V. Granade
529140,01/30/2003,03/31/2003,1.0,1.0,"(15, 30]",1.0,1.0,23.0,"(-1, 0]",0,Callie V. Granade
529141,01/30/2003,04/16/2003,0.0,1.0,"(15, 30]",1.0,1.0,25.0,"(-1, 0]",0,Callie V. Granade
529142,01/30/2003,03/26/2003,0.0,1.0,"(30, 50]",1.0,1.0,25.0,"(0, 1]",0,Callie V. Granade
529143,01/30/2003,03/17/2003,0.0,1.0,"(15, 30]",1.0,1.0,25.0,"(-1, 0]",0,Callie V. Granade
529144,01/30/2003,03/17/2003,0.0,2.0,"(30, 50]",1.0,3.0,15.0,"(-1, 0]",0,Callie V. Granade
529145,01/30/2003,08/28/2003,0.0,1.0,"(30, 50]",1.0,3.0,25.0,"(-1, 0]",3,Callie V. Granade
529146,01/30/2003,06/27/2003,0.0,1.0,"(30, 50]",1.0,3.0,23.0,"(-1, 0]",1,Callie V. Granade
529147,01/30/2003,03/31/2003,0.0,1.0,"(50, 65]",1.0,6.0,23.0,"(2, 3]",0,Callie V. Granade
529148,02/26/2003,04/16/2003,0.0,2.0,"(15, 30]",1.0,1.0,15.0,"(-1, 0]",3,Callie V. Granade
529149,02/26/2003,10/22/2003,0.0,2.0,"(15, 30]",1.0,1.0,13.0,"(4, 5]",6,Callie V. Granade
529150,02/26/2003,12/01/2003,0.0,2.0,"(15, 30]",1.0,1.0,6.0,"(-1, 0]",3,Callie V. Granade
529151,02/26/2003,04/16/2003,0.0,1.0,"(15, 30]",1.0,3.0,12.0,"(-1, 0]",1,Callie V. Granade
529152,02/26/2003,04/16/2003,0.0,1.0,"(15, 30]",1.0,5.0,21.0,"(15, 25]",0,Callie V. Granade
529153,02/26/2003,04/24/2003,0.0,1.0,"(15, 30]",1.0,1.0,13.0,"(0, 1]",2,Callie V. Granade
529154,03/27/2003,10/06/2003,0.0,2.0,"(15, 30]",1.0,3.0,19.0,"(4, 5]",2,Callie V. Granade
529155,03/27/2003,11/18/2003,0.0,2.0,"(15, 30]",1.0,1.0,25.0,"(1, 2]",3,Callie V. Granade
529156,03/27/2003,05/30/2003,0.0,2.0,"(15, 30]",1.0,3.0,29.0,"(0, 1]",2,Callie V. Granade
529157,03/27/2003,05/21/2003,0.0,2.0,"(30, 50]",1.0,1.0,29.0,"(11, 12]",2,Callie V. Granade
529158,03/27/2003,06/23/2003,0.0,1.0,"(30, 50]",1.0,1.0,31.0,"(0, 1]",1,Callie V. Granade
529159,03/27/2003,11/18/2003,0.0,1.0,"(30, 50]",1.0,1.0,33.0,"(2, 3]",1,Callie V. Granade
529160,03/27/2003,05/21/2003,1.0,1.0,"(30, 50]",1.0,1.0,27.0,"(-1, 0]",6,Callie V. Granade
529161,03/27/2003,06/23/2003,1.0,1.0,"(30, 50]",1.0,5.0,27.0,"(0, 1]",1,Callie V. Granade
529162,03/27/2003,07/08/2003,0.0,1.0,"(15, 30]",1.0,3.0,4.0,"(-1, 0]",2,Callie V. Granade
529163,03/27/2003,05/20/2003,0.0,1.0,"(15, 30]",1.0,3.0,27.0,"(0, 1]",2,Callie V. Granade
529164,03/27/2003,05/20/2003,0.0,2.0,"(30, 50]",1.0,3.0,27.0,"(0, 1]",6,Callie V. Granade
529165,03/27/2003,11/18/2003,1.0,1.0,"(15, 30]",1.0,1.0,27.0,"(0, 1]",1,Callie V. Granade
529166,04/17/2003,05/07/2003,0.0,1.0,"(30, 50]",1.0,5.0,6.0,"(-1, 0]",2,Callie V. Granade
529167,04/24/2003,06/25/2003,0.0,2.0,"(15, 30]",1.0,3.0,4.0,"(1, 2]",0,Callie V. Granade
529168,04/24/2003,08/11/2003,0.0,1.0,"(30, 50]",1.0,1.0,13.0,"(0, 1]",1,Callie V. Granade
529169,04/24/2003,06/27/2003,0.0,1.0,"(30, 50]",1.0,5.0,36.0,"(0, 1]",1,Callie V. Granade
529170,04/24/2003,08/28/2003,0.0,2.0,"(30, 50]",1.0,3.0,30.0,"(8, 9]",3,Callie V. Granade
529171,04/24/2003,06/25/2003,1.0,2.0,"(30, 50]",1.0,5.0,6.0,"(-1, 0]",6,Callie V. Granade
529172,04/24/2003,06/25/2003,1.0,1.0,"(30, 50]",1.0,6.0,10.0,"(8, 9]",3,Callie V. Granade
529174,05/29/2003,12/01/2003,0.0,1.0,"(30, 50]",1.0,1.0,33.0,"(6, 7]",3,Callie V. Granade
529175,05/29/2003,07/28/2003,0.0,2.0,"(15, 30]",1.0,1.0,17.0,"(7, 8]",3,Callie V. Granade
529176,05/29/2003,07/28/2003,0.0,1.0,"(30, 50]",1.0,3.0,4.0,"(0, 1]",3,Callie V. Granade
529177,06/26/2003,08/18/2003,0.0,2.0,"(15, 30]",1.0,1.0,4.0,"(7, 8]",3,Callie V. Granade
529178,06/26/2003,08/25/2003,0.0,1.0,"(15, 30]",1.0,3.0,23.0,"(-1, 0]",0,Callie V. Granade
529179,06/26/2003,11/26/2003,0.0,1.0,"(30, 50]",1.0,1.0,17.0,"(-1, 0]",3,Callie V. Granade
529180,06/26/2003,05/20/2004,0.0,2.0,"(30, 50]",1.0,1.0,17.0,"(15, 25]",0,Callie V. Granade
529181,07/09/2003,07/22/2003,0.0,1.0,"(15, 30]",1.0,3.0,23.0,"(2, 3]",2,Callie V. Granade
529182,07/31/2003,10/06/2003,0.0,2.0,"(30, 50]",1.0,3.0,25.0,"(2, 3]",0,Callie V. Granade
529183,07/31/2003,01/22/2004,0.0,2.0,"(30, 50]",1.0,3.0,21.0,"(15, 25]",0,Callie V. Granade
529184,08/28/2003,10/22/2003,0.0,1.0,"(50, 65]",1.0,5.0,4.0,"(-1, 0]",3,Callie V. Granade
529185,08/28/2003,08/02/2004,0.0,1.0,"(50, 65]",1.0,1.0,14.0,"(2, 3]",0,Callie V. Granade
529186,09/11/2003,10/09/2003,0.0,1.0,"(30, 50]",1.0,5.0,21.0,"(-1, 0]",2,Callie V. Granade
529187,09/24/2003,01/22/2004,0.0,2.0,"(30, 50]",1.0,1.0,17.0,"(2, 3]",3,Callie V. Granade
529188,09/24/2003,05/20/2004,1.0,2.0,"(30, 50]",1.0,3.0,21.0,"(3, 4]",0,Callie V. Granade
529189,09/24/2003,11/18/2003,0.0,1.0,"(15, 30]",1.0,1.0,14.0,"(5, 6]",0,Callie V. Granade
529190,09/24/2003,01/26/2004,1.0,1.0,"(30, 50]",1.0,6.0,6.0,"(-1, 0]",0,Callie V. Granade
529191,09/24/2003,03/21/2005,0.0,1.0,"(30, 50]",1.0,5.0,26.0,"(2, 3]",6,Callie V. Granade
529192,09/24/2003,01/20/2004,0.0,2.0,"(30, 50]",1.0,1.0,30.0,"(-1, 0]",0,Callie V. Granade
529193,10/30/2003,12/23/2003,0.0,1.0,"(15, 30]",1.0,3.0,6.0,"(0, 1]",3,Callie V. Granade
529194,11/25/2003,11/22/2004,0.0,3.0,"(30, 50]",1.0,1.0,22.0,"(-1, 0]",6,Callie V. Granade
529195,11/25/2003,01/22/2004,0.0,2.0,"(15, 30]",1.0,3.0,21.0,"(5, 6]",0,Callie V. Granade
529196,11/25/2003,01/22/2004,0.0,2.0,"(30, 50]",1.0,5.0,29.0,"(1, 2]",2,Callie V. Granade
529197,11/25/2003,04/05/2004,1.0,1.0,"(50, 65]",2.0,1.0,29.0,"(-1, 0]",0,Callie V. Granade
529198,12/29/2003,03/22/2004,0.0,1.0,"(30, 50]",1.0,3.0,6.0,"(2, 3]",3,Callie V. Granade
529199,12/29/2003,02/19/2004,0.0,1.0,"(15, 30]",1.0,3.0,31.0,"(9, 10]",3,Callie V. Granade
529200,12/29/2003,02/19/2004,0.0,2.0,"(15, 30]",1.0,1.0,23.0,"(-1, 0]",3,Callie V. Granade
529201,01/27/2004,02/18/2004,0.0,3.0,"(30, 50]",2.0,1.0,27.0,"(12, 13]",6,Callie V. Granade
529202,01/28/2004,10/21/2004,0.0,1.0,"(30, 50]",1.0,3.0,14.0,"(1, 2]",6,Callie V. Granade
529203,01/28/2004,03/24/2004,0.0,1.0,"(50, 65]",1.0,5.0,31.0,"(4, 5]",1,Callie V. Granade
529204,01/28/2004,03/22/2004,0.0,1.0,"(30, 50]",1.0,3.0,27.0,"(-1, 0]",6,Callie V. Granade
529205,01/28/2004,03/22/2004,1.0,2.0,"(15, 30]",1.0,5.0,4.0,"(1, 2]",0,Callie V. Granade
529206,02/04/2004,02/19/2004,0.0,2.0,"(50, 65]",1.0,6.0,13.0,"(-1, 0]",2,Callie V. Granade
529208,02/25/2004,04/22/2004,0.0,1.0,"(15, 30]",1.0,5.0,13.0,"(1, 2]",0,Callie V. Granade
529209,02/25/2004,04/22/2004,1.0,2.0,"(30, 50]",1.0,1.0,15.0,"(-1, 0]",0,Callie V. Granade
529210,02/25/2004,04/26/2004,0.0,1.0,"(30, 50]",1.0,1.0,27.0,"(3, 4]",1,Callie V. Granade
529211,02/25/2004,05/20/2004,1.0,3.0,"(30, 50]",1.0,3.0,25.0,"(8, 9]",1,Callie V. Granade
529212,02/25/2004,05/26/2004,0.0,1.0,"(30, 50]",1.0,1.0,29.0,"(3, 4]",6,Callie V. Granade
529213,02/25/2004,05/13/2004,1.0,1.0,"(15, 30]",1.0,3.0,32.0,"(-1, 0]",1,Callie V. Granade
529214,02/25/2004,05/25/2004,0.0,1.0,"(30, 50]",1.0,1.0,34.0,"(10, 11]",1,Callie V. Granade
529215,02/25/2004,05/13/2004,0.0,1.0,"(15, 30]",1.0,1.0,12.0,"(-1, 0]",0,Callie V. Granade
529216,03/01/2004,03/09/2004,1.0,2.0,"(15, 30]",1.0,1.0,13.0,"(-1, 0]",6,Callie V. Granade
529217,03/05/2004,03/09/2004,0.0,1.0,"(65, 80]",1.0,6.0,5.0,"(-1, 0]",2,Callie V. Granade
529218,03/25/2004,07/26/2004,0.0,1.0,"(30, 50]",1.0,5.0,18.0,"(2, 3]",0,Callie V. Granade
529219,03/25/2004,05/20/2004,1.0,1.0,"(30, 50]",1.0,3.0,10.0,"(-1, 0]",0,Callie V. Granade
529220,03/25/2004,05/20/2004,0.0,2.0,"(15, 30]",1.0,1.0,9.0,"(2, 3]",0,Callie V. Granade
529221,03/25/2004,05/28/2004,0.0,2.0,"(30, 50]",1.0,5.0,11.0,"(2, 3]",0,Callie V. Granade
529222,03/25/2004,08/18/2004,0.0,2.0,"(30, 50]",1.0,3.0,13.0,"(-1, 0]",0,Callie V. Granade
529223,03/25/2004,07/06/2004,0.0,2.0,"(30, 50]",1.0,3.0,31.0,"(2, 3]",0,Callie V. Granade
529224,03/25/2004,05/20/2004,0.0,1.0,"(15, 30]",1.0,3.0,21.0,"(3, 4]",0,Callie V. Granade
529225,04/20/2004,05/05/2004,0.0,1.0,"(15, 30]",1.0,1.0,31.0,"(-1, 0]",1,Callie V. Granade
529226,04/22/2004,04/27/2004,0.0,1.0,"(15, 30]",1.0,3.0,3.0,"(-1, 0]",2,Callie V. Granade
529227,04/29/2004,06/28/2004,1.0,2.0,"(15, 30]",1.0,1.0,4.0,"(-1, 0]",0,Callie V. Granade
529228,04/29/2004,06/15/2004,0.0,2.0,"(15, 30]",1.0,3.0,4.0,"(-1, 0]",0,Callie V. Granade
529229,04/29/2004,06/15/2004,1.0,1.0,"(15, 30]",1.0,5.0,12.0,"(0, 1]",0,Callie V. Granade
529230,04/29/2004,06/18/2004,0.0,2.0,"(30, 50]",1.0,3.0,12.0,"(5, 6]",0,Callie V. Granade
529231,05/27/2004,08/18/2004,0.0,2.0,"(15, 30]",1.0,3.0,15.0,"(3, 4]",0,Callie V. Granade
529232,05/28/2004,10/04/2004,0.0,2.0,"(15, 30]",1.0,5.0,17.0,"(4, 5]",0,Callie V. Granade
529233,05/27/2004,09/23/2004,0.0,2.0,"(50, 65]",1.0,1.0,17.0,"(3, 4]",0,Callie V. Granade
529234,06/24/2004,08/18/2004,1.0,1.0,"(30, 50]",1.0,5.0,23.0,"(3, 4]",6,Callie V. Granade
529235,06/24/2004,08/18/2004,0.0,1.0,"(30, 50]",1.0,3.0,23.0,"(2, 3]",1,Callie V. Granade
529236,06/24/2004,01/19/2005,0.0,2.0,"(15, 30]",1.0,1.0,38.0,"(5, 6]",0,Callie V. Granade
529237,06/24/2004,08/18/2004,1.0,1.0,"(15, 30]",1.0,5.0,12.0,"(0, 1]",0,Callie V. Granade
529238,06/24/2004,08/25/2004,0.0,6.0,"(15, 30]",1.0,1.0,31.0,"(9, 10]",0,Callie V. Granade
529239,06/24/2004,08/18/2004,0.0,3.0,"(30, 50]",3.0,1.0,10.0,"(0, 1]",1,Callie V. Granade
529240,07/28/2004,08/04/2004,0.0,3.0,"(30, 50]",4.0,1.0,6.0,"(0, 1]",6,Callie V. Granade
529241,07/29/2004,10/20/2004,1.0,1.0,"(30, 50]",1.0,3.0,12.0,"(-1, 0]",0,Callie V. Granade
529242,07/29/2004,02/16/2005,1.0,1.0,"(30, 50]",1.0,1.0,22.0,"(1, 2]",0,Callie V. Granade
529243,07/29/2004,09/23/2004,0.0,2.0,"(15, 30]",1.0,1.0,21.0,"(4, 5]",0,Callie V. Granade
529244,07/29/2004,04/17/2006,1.0,1.0,"(30, 50]",1.0,5.0,19.0,"(-1, 0]",0,Callie V. Granade
529245,07/29/2004,12/16/2004,0.0,2.0,"(15, 30]",1.0,1.0,19.0,"(5, 6]",0,Callie V. Granade
529246,07/29/2004,12/16/2004,0.0,2.0,"(15, 30]",1.0,1.0,19.0,"(2, 3]",0,Callie V. Granade
529247,07/29/2004,10/19/2004,1.0,1.0,"(30, 50]",1.0,5.0,14.0,"(1, 2]",0,Callie V. Granade
529248,07/29/2004,09/14/2004,0.0,1.0,"(30, 50]",1.0,3.0,23.0,"(9, 10]",0,Callie V. Granade
529249,07/29/2004,09/14/2004,0.0,2.0,"(30, 50]",1.0,3.0,23.0,"(2, 3]",0,Callie V. Granade
529250,07/29/2004,09/14/2004,0.0,1.0,"(30, 50]",1.0,5.0,33.0,"(5, 6]",0,Callie V. Granade
529251,07/29/2004,10/06/2004,0.0,3.0,"(30, 50]",1.0,5.0,40.0,"(0, 1]",2,Callie V. Granade
529252,07/29/2004,09/29/2004,0.0,1.0,"(30, 50]",1.0,5.0,13.0,"(-1, 0]",0,Callie V. Granade
529253,07/29/2004,09/14/2004,0.0,3.0,"(30, 50]",3.0,1.0,13.0,"(7, 8]",6,Callie V. Granade
529254,08/26/2004,10/18/2004,0.0,3.0,"(15, 30]",3.0,1.0,8.0,"(6, 7]",6,Callie V. Granade
529255,08/26/2004,10/19/2004,0.0,6.0,"(15, 30]",1.0,5.0,25.0,"(-1, 0]",0,Callie V. Granade
529256,08/30/2004,10/20/2004,0.0,2.0,"(15, 30]",1.0,5.0,25.0,"(2, 3]",1,Callie V. Granade
529257,08/30/2004,10/20/2004,0.0,2.0,"(15, 30]",1.0,1.0,33.0,"(2, 3]",6,Callie V. Granade
529258,08/30/2004,10/20/2004,1.0,2.0,"(15, 30]",1.0,1.0,19.0,"(0, 1]",0,Callie V. Granade
529259,08/26/2004,10/18/2004,0.0,3.0,"(15, 30]",3.0,1.0,21.0,"(1, 2]",6,Callie V. Granade
529260,09/30/2004,11/23/2004,0.0,2.0,"(15, 30]",1.0,1.0,24.0,"(11, 12]",0,Callie V. Granade
529261,09/30/2004,11/16/2004,0.0,2.0,"(15, 30]",1.0,1.0,37.0,"(-1, 0]",0,Callie V. Granade
529262,09/30/2004,11/15/2004,0.0,2.0,"(30, 50]",1.0,1.0,39.0,"(1, 2]",0,Callie V. Granade
529263,09/30/2004,11/16/2004,1.0,2.0,"(15, 30]",1.0,5.0,4.0,"(-1, 0]",0,Callie V. Granade
529264,09/30/2004,12/16/2004,0.0,2.0,"(15, 30]",1.0,3.0,25.0,"(-1, 0]",0,Callie V. Granade
529265,09/30/2004,04/28/2005,0.0,2.0,"(30, 50]",1.0,3.0,30.0,"(-1, 0]",3,Callie V. Granade
529266,09/30/2004,12/22/2004,0.0,1.0,"(30, 50]",1.0,1.0,15.0,"(8, 9]",0,Callie V. Granade
529267,09/30/2004,02/25/2005,0.0,1.0,"(30, 50]",1.0,1.0,21.0,"(10, 11]",0,Callie V. Granade
